@relation test
@attribute id numeric
@attribute Time numeric
@attribute Is_CH numeric
@attribute who_CH numeric
@attribute Dist_To_CH numeric
@attribute ADV_S numeric
@attribute ADV_R numeric
@attribute JOIN_S numeric
@attribute JOIN_R numeric
@attribute SCH_S numeric
@attribute SCH_R numeric
@attribute Rank numeric
@attribute DATA_S numeric
@attribute DATA_R numeric
@attribute Data_Sent_To_BS numeric
@attribute dist_CH_To_BS numeric
@attribute send_code numeric
@attribute Consumed_Energy numeric
@attribute @class@ {0, 1}
@data
108066,403,0,108044,34.04432,0,27,1,0,0,0,1,0,0,0,0,7,1.48787,0
2602069,2803,0,2602100,0,0,0,0,0,0,0,0,13,91,13,93.93772,0,0.22101,0
101000,50,1,101000,0,1,0,0,25,1,0,0,0,1200,48,130.08535,0,2.4694,1
101001,50,0,101044,75.32345,0,4,1,0,0,1,2,38,0,0,0,4,0.06957,1
101002,50,0,101010,46.95453,0,4,1,0,0,1,19,41,0,0,0,3,0.06898,1
101003,50,0,101044,64.85231,0,4,1,0,0,1,16,38,0,0,0,4,0.06673,1
101004,50,0,101010,4.83341,0,4,1,0,0,1,25,41,0,0,0,3,0.06534,1
101005,50,0,101010,31.91198,0,4,1,0,0,1,18,41,0,0,0,3,0.06717,1
101006,50,0,101044,24.34167,0,4,1,0,0,1,5,38,0,0,0,4,0.06214,1
101007,50,0,101010,26.75033,0,4,1,0,0,1,21,41,0,0,0,3,0.06662,1
101008,50,0,101044,63.66485,0,4,1,0,0,1,17,38,0,0,0,4,0.06649,1
101009,50,0,101000,32.90217,0,4,1,0,0,1,12,48,0,0,0,1,0.07903,1
101010,50,1,101010,0,1,0,0,30,1,0,0,0,1230,41,108.77162,0,2.3611,1
101011,50,0,101044,13.17446,0,4,1,0,0,1,10,38,0,0,0,4,0.0613,1
101012,50,0,101044,48.16567,0,4,1,0,0,1,13,38,0,0,0,4,0.06425,1
101013,50,0,101010,66.9102,0,4,1,0,0,1,16,41,0,0,0,3,0.07263,1
101014,50,0,101010,31.69105,0,4,1,0,0,1,17,41,0,0,0,3,0.06716,1
101015,50,0,101010,21.52629,0,4,1,0,0,1,8,41,0,0,0,3,0.06654,1
101016,50,0,101010,74.73928,0,4,1,0,0,1,4,41,0,0,0,3,0.0749,1
101017,50,0,101044,27.78157,0,4,1,0,0,1,29,38,0,0,0,4,0.06139,1
101018,50,0,101010,25.5197,0,4,1,0,0,1,26,41,0,0,0,3,0.06618,1
101019,50,0,101044,41.21473,0,4,1,0,0,1,28,38,0,0,0,4,0.0628,1
101020,50,0,101044,22.54714,0,4,1,0,0,1,15,38,0,0,0,4,0.06147,1
101021,50,0,101000,30.32029,0,4,1,0,0,1,4,48,0,0,0,1,0.07905,1
101022,50,0,101010,33.68188,0,4,1,0,0,1,14,41,0,0,0,3,0.06743,1
101023,50,0,101010,25.37135,0,4,1,0,0,1,12,41,0,0,0,3,0.06671,1
101024,50,0,101044,42.95017,0,4,1,0,0,1,21,38,0,0,0,4,0.06323,1
101025,50,0,101031,14.88026,0,4,1,0,0,1,7,111,0,0,0,2,0.17919,1
101026,50,0,101000,38.72916,0,4,1,0,0,1,19,48,0,0,0,1,0.07921,1
101027,50,0,101010,24.20265,0,4,1,0,0,1,7,41,0,0,0,3,0.06684,1
101028,50,0,101044,11.53332,0,4,1,0,0,1,1,38,0,0,0,4,0.06161,1
101029,50,0,101010,27.93539,0,4,1,0,0,1,9,41,0,0,0,3,0.06698,1
101030,50,0,101044,31.17339,0,4,1,0,0,1,24,38,0,0,0,4,0.06187,1
101031,50,1,101031,0,1,0,0,8,1,0,0,0,888,111,176.40744,0,2.84054,1
101032,50,0,101000,19.74436,0,4,1,0,0,1,22,48,0,0,0,1,0.07701,1
101033,50,0,101031,16.11873,0,4,1,0,0,1,4,111,0,0,0,2,0.17999,1
101034,50,0,101031,11.50538,0,4,1,0,0,1,5,111,0,0,0,2,0.1793,1
101035,50,0,101031,10.72881,0,4,1,0,0,1,6,111,0,0,0,2,0.17905,1
101036,50,0,101031,41.40768,0,4,1,0,0,1,2,111,0,0,0,2,0.18643,1
101037,50,0,101044,44.93073,0,4,1,0,0,1,19,38,0,0,0,4,0.06352,1
101038,50,0,101044,35.15659,0,4,1,0,0,1,31,38,0,0,0,4,0.06203,1
101039,50,0,101010,17.19982,0,4,1,0,0,1,27,41,0,0,0,3,0.0655,1
101040,50,0,101010,33.61006,0,4,1,0,0,1,5,41,0,0,0,3,0.06784,1
101041,50,0,101044,44.80022,0,4,1,0,0,1,22,38,0,0,0,4,0.06344,1
101042,50,0,101044,49.55254,0,4,1,0,0,1,7,38,0,0,0,4,0.06475,1
101043,50,0,101000,24.35267,0,4,1,0,0,1,17,48,0,0,0,1,0.07762,1
101044,50,1,101044,0,1,0,0,33,1,0,0,0,1254,38,125.33277,0,2.44645,1
101045,50,0,101010,16.24487,0,4,1,0,0,1,22,41,0,0,0,3,0.0659,1
106058,303,0,106027,18.53965,0,6,1,0,0,1,8,90,0,0,0,3,0.1511,0
